x,y,indicator
-147.08803,64.644608,1
,,1
-147.65907,64.817955,1
,,1
,,1
-147.70731,64.819313,1
-149.83574,61.228642,1
,,1
-85.838982,33.654354,1
-86.355194,33.306358,1
,,1
-88.030815,31.262703,1
-86.405258,33.398655,1
-86.372879,32.366604,1
-88.026848,30.971258,1
-88.015594,31.264542,1
-86.612724,31.832466,1
-86.530296,33.53566,1
-88.026833,30.974653,1
-87.692009,31.028955,1
-88.071678,30.809025,1
-85.396767,31.330601,1
,,1
-86.800049,33.562435,1
-92.126411,34.878292,1
-92.644897,33.321587,1
-92.701485,33.125904,1
-90.307922,35.102699,1
,,1
-93.390739,34.968029,1
,,1
-94.170769,34.649147,1
,,1
-94.370499,35.245071,1
-90.174759,35.13451,1
-93.142647,35.01395,1
-92.02935,34.865913,1
-90.486252,36.023769,1
-92.109589,34.867748,1
,,1
,,1
,,1
-114.58202,32.656261,1
-111.68675,33.311462,1
-110.23851,31.878765,1
-111.97219,33.465466,1
-112.09913,33.381207,1
-112.34557,33.420815,1
-111.90895,33.465878,1
-112.75204,33.367756,1
-110.67541,33.563416,1
-110.96113,32.126339,1
-122.29474,37.802551,1
,,1
-121.39616,38.525139,1
-120.89668,35.625927,1
-122.369,37.727402,1
-117.89956,34.923092,1
-122.24172,37.753078,1
-117.33642,33.339348,1
-122.06125,37.427094,1
-117.35432,34.570778,1
-121.7069,37.686375,1
-121.45302,37.747982,1
-121.75709,38.511078,1
,,1
-121.38268,38.661728,1
-117.26935,34.086674,1
-117.27589,33.89127,1
-121.38954,37.761459,1
-121.93227,38.268299,1
-117.68802,33.690987,1
-122.03084,37.995373,1
,,1
-120.92191,37.715286,1
-117.02898,34.88813,1
-121.26889,37.855556,1
-121.29861,38.55722,1
-118.1729,34.202702,1
-123.00824,38.786472,1
-122.37461,41.43404,1
-124.23344,41.77203,1
-122.02723,37.377724,1
-118.29926,33.848934,1
-118.17577,33.950459,1
-122.08863,37.398506,1
-119.65981,36.764816,1
-121.30975,37.947212,1
-122.08096,37.40992,1
-121.56355,39.467854,1
-122.0805,37.407551,1
-122.00939,37.383999,1
-122.05349,37.396847,1
-122.09463,37.415661,1
-119.18402,34.138988,1
-120.54569,34.863419,1
-121.86555,37.319847,1
-119.60165,36.557888,1
-118.29039,33.846317,1
-122.00536,37.335114,1
-121.9997,37.376747,1
-118.04336,33.969528,1
-121.97784,37.377495,1
-122.00921,37.382427,1
-119.0207,36.051025,1
-121.99779,37.380512,1
-118.82403,35.203217,1
-118.18117,33.946934,1
-122.05775,37.396736,1
-123.19382,39.112267,1
-120.82397,37.473576,1
-121.56673,39.476421,1
-121.70081,38.55188,1
-121.98055,37.376057,1
-122.05336,37.404148,1
-121.77245,37.232193,1
-121.20558,38.626663,1
-120.36427,36.143822,1
-122.44701,40.584549,1
-117.97029,33.895603,1
-118.90343,34.400291,1
-119.81342,36.708778,1
,,1
-118.0304,34.052761,1
-119.74574,36.687088,1
-119.81064,36.842457,1
-118.1743,33.985905,1
-121.50482,38.594002,1
-119.27874,36.333752,1
-120.35277,36.139622,1
-117.95147,34.018002,1
-117.93626,34.07233,1
-118.12684,34.095161,1
-122.14391,37.420979,1
-118.05782,33.948154,1
-122.03061,37.051273,1
-122.66182,38.997547,1
,,1
-121.97478,37.425293,1
-118.38596,34.170227,1
-118.25202,34.146324,1
,,1
-122.59182,38.234707,1
-117.26935,34.086674,1
-122.36192,37.921211,1
-120.99387,37.65667,1
-120.97129,39.226273,1
-120.79059,38.357464,1
-121.58968,36.627789,1
-121.9726,37.377148,1
-118.17776,33.945793,1
-117.4146,34.155933,1
-121.97209,37.373577,1
-122.35248,37.922565,1
-118.11009,34.038643,1
-117.45741,34.025322,1
-122.00667,37.386269,1
-104.94954,39.780636,1
,,1
,,1
,,1
-105.20917,39.730038,1
-105.00013,39.805206,1
,,1
-104.91288,39.781067,1
,,1
-106.43538,39.598606,1
-104.7163,39.635925,1
-105.19957,39.95924,1
-104.94281,39.79446,1
-105.0205,39.735577,1
-105.56738,39.779861,1
,,1
,,1
-106.81145,39.195087,1
-105.50185,40.055676,1
-106.02388,38.552471,1
,,1
,,1
,,1
-104.60669,38.256252,1
-73.010376,41.552071,1
-71.970528,41.938366,1
-73.116867,41.201256,1
-72.681641,41.481674,1
-71.804459,41.697163,1
-72.883568,41.620792,1
-71.95813,41.660244,1
-72.44722,41.851452,1
-73.030853,41.437332,1
-71.956314,41.635136,1
-73.073441,41.471977,1
-72.995956,41.574402,1
-72.880417,41.59095,1
,,1
,,1
-72.085747,41.38818,1
-72.910446,41.556824,1
-76.993591,38.876423,1
-75.519241,39.15802,1
-75.597244,39.647957,1
-75.576637,39.695896,1
-75.635162,39.598072,1
-75.285545,38.578243,1
-75.561104,39.67131,1
-75.616631,39.65477,1
-75.567001,38.555496,1
-75.648186,39.58736,1
-75.620056,39.712437,1
-75.609001,39.711258,1
-75.530899,39.164448,1
,,1
-75.523529,39.116371,1
-75.578964,39.664165,1
-75.60862,39.304886,1
-75.697372,39.570976,1
-75.51712,39.167683,1
-75.536659,39.71833,1
-75.685043,39.50399,1
-75.689491,39.784389,1
-75.610428,38.631592,1
-75.277245,38.565105,1
-82.51001,28.04018,1
,,1
-87.02005,30.71015,1
-81.813309,30.281935,1
-81.686539,30.207434,1
-80.386932,25.503813,1
,,1
-80.633736,28.035276,1
-81.686348,30.354012,1
-82.256958,27.937967,1
-82.342484,27.971756,1
-87.316872,30.606371,1
-80.417534,27.646582,1
-84.512329,30.592684,1
-81.407417,28.579897,1
,,1
-82.346504,27.981209,1
-82.372993,27.962807,1
-80.152168,26.199047,1
-80.289322,25.845205,1
-80.255569,25.815983,1
-80.417297,25.536358,1
-80.299614,25.839844,1
-87.23671,30.403168,1
-87.234512,30.453348,1
-82.775734,28.172777,1
-82.375061,27.964998,1
-80.257339,25.843191,1
-80.352623,25.875561,1
-81.26593,28.811153,1
-81.628082,30.343428,1
-84.697342,30.665642,1
-80.143234,26.218996,1
-82.006699,28.101898,1
-81.978233,28.039347,1
-81.264854,29.062166,1
-80.198814,27.135374,1
-81.608002,28.729506,1
-80.503944,27.040197,1
-80.073532,26.793182,1
-82.375031,27.964382,1
-81.299095,28.601276,1
-87.327179,30.456711,1
-82.146004,28.011217,1
-80.310608,25.744001,1
-80.313889,25.835564,1
-80.144417,26.218967,1
-80.096573,26.282333,1
-80.1679,25.881039,1
-82.355278,27.959333,1
-80.073883,26.794771,1
-81.714546,28.097759,1
-85.176498,30.685663,1
-87.227463,30.448288,1
-87.273842,30.432041,1
-82.290253,28.026897,1
-81.736443,30.37138,1
-80.342972,26.070807,1
-80.311157,25.875225,1
,,1
,,1
-82.329536,29.630295,1
-81.812843,30.218262,1
-82.346413,27.966375,1
-82.385368,27.969463,1
,,1
-80.235649,25.994905,1
-81.963936,30.283169,1
-80.22113,25.924589,1
-83.394676,30.499363,1
-80.186531,26.141438,1
-80.210289,25.832157,1
-80.214958,26.082487,1
-82.406357,27.915236,1
-82.394073,28.04957,1
-81.844322,30.316364,1
-82.477844,27.678926,1
-81.322464,28.717489,1
-82.317902,28.056475,1
,,1
-84.074196,31.543676,1
-81.991409,33.394783,1
-83.88559,32.553112,1
-84.204185,31.222857,1
-82.036774,33.455246,1
-84.181152,31.617601,1
-85.262451,34.008652,1
-81.504715,31.18631,1
-85.28157,34.017277,1
-83.734306,32.666519,1
-81.485359,31.204153,1
,,1
-81.541229,31.241041,1
-81.474747,31.166691,1
-85.263306,34.019661,1
-84.058723,31.571909,1
23.717121,37.993252,1
-83.507088,31.430952,1
-84.4077,33.766384,1
-82.022415,33.418743,1
-83.655685,32.778984,1
144.90918,13.583314,1
144.71797,13.471443,1
-158.02588,21.498577,1
-157.94669,21.351358,1
-158.05052,21.489735,1
-158.05579,21.428932,1
-93.719315,41.571167,1
-2.895093,54.036762,1
-90.309196,41.801102,1
-91.669121,41.996307,1
-92.414284,41.004906,1
-95.905266,43.074776,1
-95.031776,41.398018,1
,,1
-92.687408,43.090424,1
-92.909126,41.714119,1
-96.350327,42.35228,1
-96.194756,42.931107,1
-92.661751,43.056,1
-91.415543,40.464939,1
-92.672554,43.059078,1
-95.232658,41.005302,1
,,1
,,1
-93.201096,43.171143,1
-90.661491,42.50528,1
-93.198669,43.156376,1
-91.972176,41.004673,1
-92.324387,42.492382,1
-96.166451,42.793076,1
-115.80099,43.109596,1
,,1
-116.94878,47.78223,1
-111.1091,43.004875,1
-116.19821,47.540176,1
-112.44823,42.860931,1
-111.1091,43.004875,1
-112.48616,42.896278,1
,,1
,,1
,,1
-116.5733,47.320091,1
-90.103394,38.645153,1
,,1
-88.080154,41.527313,1
-90.236084,42.202045,1
,,1
-89.021683,37.738003,1
-90.176353,38.601242,1
-87.57534,41.673668,1
-87.82505,42.364056,1
-87.682381,39.324352,1
-88.194893,41.449154,1
-88.835175,42.269089,1
-87.821953,42.384598,1
-87.942459,41.705265,1
-90.152588,38.709484,1
,,1
-89.063103,42.475056,1
-88.135178,42.27747,1
-88.268112,41.984562,1
-89.425003,38.609211,1
-89.057076,42.161991,1
-89.105194,38.652554,1
-89.306259,41.325127,1
-90.156975,38.697708,1
-88.169807,39.245735,1
-88.865318,42.262581,1
-88.81176,42.249794,1
-87.844048,42.359608,1
-88.087791,42.474197,1
-88.447922,42.297298,1
-88.246979,41.817699,1
-89.057098,42.165489,1
-88.821609,41.354725,1
-89.473724,39.160942,1
,,1
-90.173027,38.583782,1
,,1
-89.096336,41.349106,1
,,1
-88.206909,41.89283,1
-88.206909,41.89283,1
-89.4963,37.2957,1
-89.072334,42.237019,1
-89.297302,39.544815,1
-90.307198,40.922699,1
-87.539391,41.666096,1
-87.643814,40.076042,1
-89.496788,39.126923,1
-90.395607,42.348846,1
-89.09333,42.241348,1
-85.971985,41.705086,1
-86.216042,39.74411,1
-86.146988,40.476292,1
-87.495682,41.673321,1
-86.896896,41.562939,1
-85.900246,39.216484,1
-87.538406,38.579739,1
-86.554985,39.187168,1
-87.41597,41.514343,1
-86.189995,39.766918,1
-85.907242,38.925362,1
-87.465302,41.616676,1
-85.477348,41.165295,1
-86.278885,40.02792,1
-85.887596,41.131653,1
-86.640663,41.500214,1
-86.279488,40.029152,1
-86.015175,41.705761,1
-87.38269,41.571716,1
-86.883919,41.722794,1
-85.916412,39.202103,1
-86.187569,41.70945,1
-86.645218,39.163502,1
-87.427834,41.588322,1
-85.070557,41.074661,1
-87.40921,41.620808,1
-85.606491,39.862396,1
-86.558746,39.174866,1
-85.976418,41.697678,1
-85.637314,40.537006,1
-86.473221,40.045547,1
-87.427971,41.595276,1
,,1
-86.297318,41.675575,1
-86.875626,40.456734,1
-86.086876,41.695473,1
-86.279236,41.664761,1
-85.995979,41.672813,1
-87.563965,37.979221,1
-85.930481,39.186077,1
-86.42984,39.428791,1
-87.413757,39.47636,1
-85.921013,41.716824,1
-86.121872,39.835049,1
-87.401649,39.444893,1
,,1
-96.771461,39.074936,1
-96.858925,37.83194,1
-95.725006,39.087021,1
-97.333832,37.737484,1
-94.806282,38.875565,1
-101.04087,39.397163,1
-98.849792,38.346901,1
-97.027809,37.060539,1
-97.848602,38.063065,1
,,1
-94.801025,39.040447,1
-97.401115,37.725658,1
,,1
,,1
-97.335899,37.789024,1
,,1
-95.934898,37.013111,1
-95.386833,37.922153,1
-94.771759,37.312469,1
-88.816528,37.107735,1
-88.337906,37.011719,1
-88.348999,37.05061,1
-86.787941,37.934982,1
-85.742622,38.037891,1
-85.71241,38.071281,1
-87.151962,37.447735,1
-86.980537,37.883011,1
,,1
-85.866692,38.189278,1
,,1
-85.962021,37.979179,1
-83.56765,38.267155,1
-86.704689,37.538452,1
-85.764084,38.048878,1
-85.482964,38.302082,1
-84.49202,39.072639,1
-83.379784,36.842117,1
,,1
,,1
-92.636124,31.919052,1
-89.7995,30.270473,1
-91.245605,30.584862,1
-91.033417,30.76618,1
-92.620193,30.176115,1
-92.305115,32.958157,1
-90.392372,30.417765,1
-90.97216,30.521103,1
,,1
-91.006462,30.120598,1
,,1
-89.803719,30.265013,1
,,1
-92.140778,29.975502,1
-90.977661,30.254601,1
-90.038658,29.98842,1
-92.143478,29.973053,1
,,1
-90.243233,30.436157,1
-93.216812,30.235313,1
-92.439888,31.298338,1
-93.278214,30.836447,1
,,1
-71.182678,42.365108,1
,,1
-70.955238,42.165657,1
,,1
-71.289085,42.476528,1
-71.608154,42.545872,1
-71.267403,42.461952,1
-71.314598,42.63015,1
-71.423798,42.45356,1
-70.898216,41.63467,1
-70.93026,42.553318,1
-71.028725,42.148827,1
-71.220062,42.037773,1
-71.296295,41.957294,1
-71.158379,42.527287,1
-70.960968,42.843014,1
-73.269669,42.397034,1
-71.450188,42.669373,1
-71.271706,42.591766,1
-71.421341,42.441647,1
-71.138672,42.51815,1
-71.023354,41.971901,1
-71.235954,41.94376,1
-71.034584,41.688023,1
-71.443443,42.391815,1
-71.193321,42.588566,1
-71.050117,42.751656,1
-73.264755,42.508202,1
-70.691116,41.979691,1
,,1
-71.190529,42.178841,1
-70.924011,41.628986,1
-70.961182,41.653194,1
-72.329956,42.155323,1
-71.127769,42.491508,1
,,1
-71.642937,42.269039,1
-71.25058,42.12402,1
-71.471283,42.259724,1
-71.410057,42.074982,1
-76.883522,39.028126,1
-76.882683,38.82349,1
-76.330666,39.432743,1
-76.161301,39.51326,1
-76.57074,39.201656,1
-76.459938,38.270622,1
-77.163536,38.596218,1
-76.716331,39.091869,1
-76.848862,38.697067,1
-75.876587,39.690418,1
-77.722282,39.656448,1
-76.698586,39.161869,1
-76.263924,39.465984,1
-76.085304,39.642921,1
-76.63237,39.265545,1
-78.762634,39.645233,1
-76.594833,38.369179,1
-76.465309,39.029106,1
-75.849144,39.606384,1
-76.519844,39.311337,1
-76.532806,39.295399,1
