objectid,item_id,ai_id,si_cat,si_id,project_id,ai_name,project_type,project_name,si_type,site_type,acreage,address1,address2,city,state,zip,loc_desc,county,cong_dist,house_dist,senate_dist,huc8,huc8_name,huc10,huc12,huc12_name,dwsma_code,dwsma_name,lat,lon,method_desc,status,project_managers,hydrologists,npl,plp,bpet,bvic,sems,unp_dump,federal_reg,fed_state_reg,state_reg,non_reg,mntba,sf_voluntary,ic,hrs_score,score_year,wimn_url,shape,gdb_geomattr_data
4813,10436-AREA0000000006,10436,AREA,6,PB4902,MnSCU - MN State Community & Technical College - Moorhead,Brownfield Site,MnSCU - MN State Comm & Tech College Moorhead,BROW,BIG,0.3,1900 28th Ave S,,Moorhead,MN,56560,,Clay,7,4A,4,9020104,Upper Red River of the North,902010405,90201040504,City of Fargo-Red River,,,46.84923461,-96.74894532,Digitized - MPCA internal map,Closed,Mark Koplitz (current),Mike Connolly (current),,,Y,,,,,,,,,,,,,https://webapp.pca.state.mn.us/wimn/site/10436,0101000020E61000001BF959B8EE2F58C0694A3EB8B36C4740,
5985,90825-AREA0000000002,90825,AREA,2,LS0013916,Prior Lake city of,Brownfield Site,City Of Prior Lake,BROW,BIG,,16200 Eagle Creek Ave,,Prior Lake,MN,55372,,Scott,2,54B,54,7020012,Lower Minnesota River,702001211,70200121105,Prior Lake,,,44.71434381,-93.42592182,Digitized - MPCA internal map,Closed,Jim McCann (no longer at MPCA),,,,Y,,,,,,,,,,,,,https://webapp.pca.state.mn.us/wimn/site/90825,0101000020E610000061E3974D425B57C06806339E6F5B4640,
20376,1160-AREA0000000004,1160,AREA,4,VP11700,Minnesota Correctional Facility - Lino Lakes,Brownfield Site,Minnesota Correctional Facility,BROW,BIG,,7525 4th Ave,,Lino Lakes,MN,55014,"T31N, R22W, Sec. 18",Anoka,6,36A,36,7010206,Mississippi River - Twin Cities,701020603,70102060304,Rice Lake,,,45.1764183,-93.12255859,Digitized-DRG,Closed,Patrice Jensen (no longer at MPCA),Rick Jolley (no longer at MPCA),,,,Y,,,,,Y,,,,,,,https://webapp.pca.state.mn.us/wimn/site/1160,0101000020E610000035F9FBFFD74757C03D75F6DF94964640,
20838,38730-AREA0000000002,38730,AREA,2,VP27050,MNDOT District 6 - Rochester,Brownfield Site,MNDOT District 6 Facility,BROW,BIG,0.75,2900 48th St NW,,Rochester,MN,55901,"

",Olmsted,1,25A,25,7040004,Zumbro River,704000401,70400040110,South Fork Zumbro River,,,44.07172069,-92.50591336,Digitized - MPCA internal map,Closed,Andrew Nichols (former),,,,,Y,,,,,Y,,,,,,,https://webapp.pca.state.mn.us/wimn/site/38730,0101000020E6100000CEF36DE2602057C08FFFC0242E094640,
29903,121876-AREA0000000002,121876,AREA,2,BF0000281,Hanover city of,Brownfield Site,Hanover Public Works,BROW,BIG,1,11250 5th Street NE,,Hanover,MN,55341,,Wright,6,30A,30,7010204,North Fork Crow River,701020407,70102040701,City of Rockford-Crow River,,,45.15836701,-93.66312711,Digitized - Web Map Google / Yahoo / Microsoft,Active / Existing,Edward Olson (no longer at MPCA),Edward Olson (no longer at MPCA),,,,Y,,,,,,,,,,,,https://webapp.pca.state.mn.us/wimn/site/121876,0101000020E6100000A0A2B0AC706A57C08F5BC45E45944640,
31756,213686-AREA0000000004,213686,AREA,4,BF0001066,Lyndale Ave Corridor,Brownfield Site,Big O Tires,BROW,BIG,0.76,9200 Lyndale Avenue South,,Bloomington,MN,55420,,Hennepin,3,51B,51,7020012,Lower Minnesota River,702001211,70200121108,Ninemile Creek,66,Bloomington,44.83690765,-93.28927308,Digitized - MPCA internal map,Active / Existing,Andrew Eddy (former),"Allan Timm (current), Shanna Schmitt (current)",,,,Y,,,,,,,,,,,,https://webapp.pca.state.mn.us/wimn/site/213686,0101000020E6100000A58D3C73835257C0D84235CA1F6B4640,
32061,2978-AREA0000000002,2978,AREA,2,BF0001306,Dayton Park Properties,Brownfield Site,Daytona Market,BROW,BIG,6.71,19000 County Road 81,,Dayton,MN,55369,,Hennepin,3,34A,34,7010206,Mississippi River - Twin Cities,701020601,70102060104,Diamond Creek-Elm Creek,,,45.16902967,-93.51865794,Digitized - MPCA internal map,Closed,Andrew Nichols (former),,,,,Y,,,,,,,,Y,,,,https://webapp.pca.state.mn.us/wimn/site/2978,0101000020E6100000168712B1316157C0125AA4C3A2954640,
32400,90825-AREA0000000003,90825,AREA,3,BF0001250,Prior Lake city of,Brownfield Site,"Eagle Creek Avenue SE & Arcadia Ave Improvements
",BROW,BIG,,Intersection of Eagle Creek Ave SE & Arcadia Ave ,,Prior Lake,MN,,,Scott,2,54B,54,7020012,Lower Minnesota River,702001211,70200121105,Prior Lake,,,44.67821908,-93.50370328,County Centroid,Closed,Rachel Kennedy (no longer at MPCA),,,,,,,,,,,,,,,,,https://webapp.pca.state.mn.us/wimn/site/90825,0101000020E61000003A9FAEAC3C6057C0C50F00E2CF564640,
32490,47406-AREA0000000003,47406,AREA,3,BF0001383,Fridley city of,Brownfield Site,City of Fridley City Hall,BROW,BIG,4.08,6431 University Ave NE,,Fridley,MN,55432,,Anoka,5,39A,39,7010206,Mississippi River - Twin Cities,701020607,70102060702,Durnam Island-Mississippi River,16,Fridley,45.08498259,-93.26252169,Digitized - MPCA internal map,Active / Existing,"Mark Ostby (current), Stacey VanPatten (current)","Victor Henao (current), Sara Nelson (former)",,,Y,Y,,,,,,,,,,,,https://webapp.pca.state.mn.us/wimn/site/47406,0101000020E61000009A42C627CD5057C0C363A2B5E08A4640,
35444,5516-AREA0000000017,5516,AREA,17,,Eden Prairie Collection System,Brownfield Site,339 3rd Street Development,BROW,BIG,1.52,"329, 339, and 343 3rd Street",,Excelsior,MN,55331,,Hennepin,,,,,,,,,,,44.903,-93.568,Digitized - Web Map Google / Yahoo / Microsoft,,Mark Koplitz (current),,,,Y,Y,,,,,,,,,,,,https://webapp.pca.state.mn.us/wimn/site/5516,0101000020E61000003108AC1C5A6457C0DD24068195734640,
